epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4866.68,0.49593,0.79212,1.00267,0.7771,0.67593,0.76652,0.65696,0.45095,0.91866,0.93432,0.00781874,0.00781874,0.00781874
68,4939.81,0.48709,0.77062,0.98555,0.81016,0.68226,0.77524,0.6607,0.45821,0.92267,0.93104,0.00778569,0.00778569,0.00778569
69,5013.08,0.49584,0.78083,0.99381,0.78475,0.70389,0.77115,0.66094,0.44451,0.92216,0.93568,0.00775265,0.00775265,0.00775265
70,5086.1,0.49025,0.74652,0.98588,0.83602,0.65182,0.76706,0.64806,0.45697,0.91684,0.94212,0.0077196,0.0077196,0.0077196
71,5157.8,0.48396,0.77657,0.98963,0.80892,0.67949,0.77039,0.65869,0.44697,0.89987,0.93451,0.00768655,0.00768655,0.00768655
72,5229.53,0.48636,0.76837,0.99013,0.80351,0.70167,0.77778,0.67011,0.43943,0.8736,0.92429,0.0076535,0.0076535,0.0076535
73,5302.25,0.48305,0.74272,0.98804,0.80402,0.70266,0.78057,0.67447,0.42933,0.88935,0.91593,0.00762045,0.00762045,0.00762045
74,5374.95,0.47452,0.7263,0.98179,0.87164,0.68264,0.773,0.66688,0.43669,0.90847,0.92723,0.0075874,0.0075874,0.0075874
75,5446.41,0.48575,0.71059,0.98699,0.79017,0.71998,0.76818,0.66468,0.43428,0.92198,0.92977,0.00755435,0.00755435,0.00755435
76,5518.14,0.47098,0.71491,0.97977,0.80811,0.71401,0.77431,0.66712,0.43359,0.88854,0.9213,0.0075213,0.0075213,0.0075213
77,5589.63,0.47443,0.69884,0.97809,0.80553,0.70783,0.77511,0.67132,0.44189,0.89794,0.93299,0.00748825,0.00748825,0.00748825
78,5661.1,0.46194,0.68645,0.96722,0.82535,0.69647,0.78909,0.68395,0.43104,0.89421,0.92825,0.0074552,0.0074552,0.0074552
79,5733.86,0.47265,0.70816,0.98187,0.81022,0.7024,0.77279,0.66944,0.42556,0.897,0.92311,0.00742215,0.00742215,0.00742215
80,5805.21,0.46656,0.69611,0.97751,0.8183,0.69854,0.7821,0.6796,0.42516,0.88441,0.92464,0.0073891,0.0073891,0.0073891
81,5876.97,0.45624,0.66546,0.96349,0.83359,0.68965,0.78023,0.68469,0.42491,0.8739,0.92603,0.00735605,0.00735605,0.00735605
82,5949.86,0.4655,0.68793,0.97703,0.81968,0.71362,0.78522,0.6793,0.42687,0.87924,0.92056,0.007323,0.007323,0.007323
83,6021.23,0.4612,0.68253,0.96831,0.85786,0.69256,0.78166,0.67499,0.42826,0.90577,0.92685,0.00728995,0.00728995,0.00728995
84,6092.71,0.45364,0.65504,0.96025,0.80759,0.69439,0.76904,0.65894,0.43333,0.8852,0.92832,0.00725691,0.00725691,0.00725691
