epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4994.58,0.64952,1.58521,1.63518,0.59152,0.49155,0.53876,0.42931,0.55925,1.44844,1.49445,0.00439226,0.00439226,0.00439226
68,5069.61,0.63109,1.54958,1.61607,0.55767,0.52739,0.54662,0.43504,0.54888,1.40842,1.49155,0.00437396,0.00437396,0.00437396
69,5144.26,0.61432,1.55896,1.5967,0.55198,0.51391,0.51915,0.41154,0.55954,1.4611,1.4877,0.00435566,0.00435566,0.00435566
70,5216.69,0.62446,1.54505,1.60599,0.56324,0.51823,0.52662,0.41026,0.55945,1.43886,1.50057,0.00433736,0.00433736,0.00433736
71,5288.92,0.61652,1.53915,1.59652,0.55851,0.52582,0.5385,0.42414,0.54953,1.40025,1.48265,0.00431906,0.00431906,0.00431906
72,5361.19,0.619,1.48712,1.58701,0.53845,0.52225,0.53063,0.41975,0.55584,1.43712,1.49862,0.00430076,0.00430076,0.00430076
73,5433.76,0.61378,1.47066,1.5869,0.57578,0.51516,0.547,0.43939,0.54292,1.40338,1.48113,0.00428246,0.00428246,0.00428246
74,5508.84,0.60508,1.47578,1.58626,0.56114,0.53058,0.57198,0.44949,0.53313,1.37088,1.47344,0.00426416,0.00426416,0.00426416
75,5583.91,0.6162,1.47543,1.60578,0.60583,0.55147,0.56782,0.44881,0.53177,1.35371,1.45592,0.00424587,0.00424587,0.00424587
76,5656.29,0.5961,1.40354,1.56551,0.61554,0.56537,0.59643,0.4771,0.54054,1.31392,1.47643,0.00422757,0.00422757,0.00422757
77,5731.73,0.60374,1.41647,1.5767,0.63906,0.5315,0.59523,0.47725,0.54033,1.31632,1.47381,0.00420927,0.00420927,0.00420927
78,5806.94,0.59548,1.40216,1.56027,0.67463,0.51294,0.6028,0.48942,0.53397,1.30075,1.46724,0.00419097,0.00419097,0.00419097
79,5882.09,0.59618,1.3982,1.56549,0.60553,0.522,0.58591,0.47009,0.52497,1.29896,1.44831,0.00417267,0.00417267,0.00417267
80,5955.02,0.59588,1.36403,1.57594,0.53105,0.58344,0.5718,0.45621,0.52768,1.31514,1.46713,0.00415437,0.00415437,0.00415437
81,6027.4,0.58779,1.34281,1.55572,0.5775,0.56598,0.5933,0.47786,0.53128,1.30338,1.46586,0.00413607,0.00413607,0.00413607
82,6099.93,0.5742,1.34444,1.54874,0.67592,0.50545,0.59449,0.47663,0.51797,1.28213,1.45555,0.00411777,0.00411777,0.00411777
83,6172.56,0.5789,1.36205,1.55303,0.59855,0.58332,0.60948,0.49411,0.51529,1.25751,1.45744,0.00409947,0.00409947,0.00409947
84,6247.07,0.57862,1.32396,1.55394,0.64293,0.59574,0.62828,0.51049,0.51529,1.23847,1.43937,0.00408117,0.00408117,0.00408117
85,6322.48,0.57217,1.3207,1.55636,0.61627,0.57058,0.62779,0.51033,0.50775,1.2478,1.45037,0.00406287,0.00406287,0.00406287
86,6394.83,0.57779,1.31646,1.55278,0.63882,0.59442,0.62582,0.51116,0.5098,1.20718,1.44961,0.00404457,0.00404457,0.00404457
87,6470.34,0.5725,1.29655,1.54089,0.67063,0.55037,0.6194,0.50473,0.50286,1.25571,1.42455,0.00402628,0.00402628,0.00402628
88,6543.17,0.5689,1.2845,1.53341,0.6676,0.56275,0.63869,0.52291,0.50816,1.22901,1.43669,0.00400798,0.00400798,0.00400798
89,6618.33,0.56518,1.28016,1.53295,0.62487,0.58285,0.63452,0.51757,0.50909,1.21148,1.44361,0.00398968,0.00398968,0.00398968
90,6691.44,0.57841,1.28213,1.54783,0.63901,0.60409,0.63682,0.52126,0.50393,1.1981,1.43725,0.00397138,0.00397138,0.00397138
91,6764.07,0.56945,1.24565,1.53731,0.63049,0.60479,0.6266,0.51465,0.50243,1.20453,1.42388,0.00395308,0.00395308,0.00395308
92,6836.7,0.56794,1.23546,1.53597,0.63742,0.63696,0.66519,0.53921,0.49925,1.16517,1.44208,0.00393478,0.00393478,0.00393478
93,6912.2,0.55008,1.23833,1.51447,0.7104,0.55537,0.65547,0.54084,0.49505,1.18413,1.42558,0.00391648,0.00391648,0.00391648
94,6986.93,0.55621,1.2536,1.5295,0.66942,0.58905,0.6493,0.52751,0.4945,1.18309,1.42746,0.00389818,0.00389818,0.00389818
95,7059.48,0.55034,1.19969,1.51307,0.73559,0.57942,0.67555,0.54704,0.49203,1.15155,1.42201,0.00387988,0.00387988,0.00387988
96,7133.96,0.55603,1.21522,1.5234,0.72097,0.5696,0.65953,0.55221,0.48053,1.15385,1.40395,0.00386158,0.00386158,0.00386158
97,7208.59,0.54562,1.18908,1.52082,0.67534,0.60303,0.67111,0.55975,0.48221,1.17085,1.41206,0.00384328,0.00384328,0.00384328
98,7284.12,0.55694,1.20222,1.52565,0.75799,0.58396,0.67209,0.55892,0.48441,1.12329,1.42188,0.00382499,0.00382499,0.00382499
99,7356.7,0.54868,1.17468,1.50868,0.68445,0.63558,0.67098,0.55983,0.47223,1.11258,1.40521,0.00380669,0.00380669,0.00380669
100,7432.03,0.54569,1.15279,1.49891,0.64652,0.64796,0.66392,0.5554,0.47985,1.14877,1.40946,0.00378839,0.00378839,0.00378839
101,7505.02,0.55432,1.16998,1.52362,0.74249,0.61158,0.69222,0.57811,0.47366,1.12007,1.39988,0.00377009,0.00377009,0.00377009
102,7580.32,0.54937,1.13706,1.50909,0.73888,0.63808,0.70113,0.57821,0.48595,1.13392,1.41907,0.00375179,0.00375179,0.00375179
103,7655.83,0.55334,1.14867,1.52234,0.76476,0.61286,0.68549,0.5725,0.47728,1.13312,1.41592,0.00373349,0.00373349,0.00373349
104,7728.39,0.53296,1.12389,1.49961,0.7167,0.63,0.68009,0.57318,0.47564,1.12135,1.40444,0.00371519,0.00371519,0.00371519
105,7801.04,0.53309,1.11087,1.49584,0.75939,0.5607,0.67443,0.56167,0.47268,1.12476,1.40085,0.00369689,0.00369689,0.00369689
106,7873.44,0.52937,1.10024,1.48739,0.71971,0.61384,0.67757,0.56675,0.46831,1.08556,1.40002,0.00367859,0.00367859,0.00367859
107,7945.8,0.53276,1.10284,1.49498,0.77281,0.60022,0.69972,0.58264,0.46666,1.103,1.4054,0.00366029,0.00366029,0.00366029
108,8021.08,0.52559,1.07492,1.47628,0.70732,0.63495,0.7015,0.58566,0.46425,1.06964,1.39564,0.00364199,0.00364199,0.00364199
109,8095.81,0.53179,1.07976,1.50087,0.76737,0.60753,0.69986,0.58931,0.46866,1.07262,1.39798,0.0036237,0.0036237,0.0036237
110,8170.57,0.52826,1.08371,1.4949,0.75745,0.63262,0.71399,0.59584,0.47194,1.07307,1.40772,0.0036054,0.0036054,0.0036054
111,8245.53,0.52947,1.07535,1.48664,0.75744,0.62563,0.70178,0.59357,0.46611,1.07175,1.40037,0.0035871,0.0035871,0.0035871
112,8317.81,0.52897,1.07447,1.49699,0.80208,0.61392,0.71192,0.59664,0.46195,1.0746,1.39646,0.0035688,0.0035688,0.0035688
113,8392.97,0.52718,1.06099,1.48359,0.71988,0.66615,0.71295,0.60382,0.45512,1.0781,1.38076,0.0035505,0.0035505,0.0035505
114,8467.98,0.52079,1.02841,1.491,0.72091,0.65711,0.7102,0.6001,0.46203,1.0728,1.39782,0.0035322,0.0035322,0.0035322
115,8541.18,0.51896,1.0308,1.4729,0.74661,0.63593,0.71198,0.60426,0.45707,1.07033,1.38694,0.0035139,0.0035139,0.0035139
116,8616.2,0.51563,1.00723,1.48301,0.76571,0.64659,0.72395,0.61567,0.44789,1.03118,1.36956,0.0034956,0.0034956,0.0034956
117,8691.13,0.50814,0.99097,1.4686,0.76906,0.63744,0.71626,0.6045,0.4543,1.05346,1.40197,0.0034773,0.0034773,0.0034773
118,8763.57,0.52018,0.9808,1.47404,0.74018,0.63262,0.71735,0.60983,0.45624,1.05095,1.38931,0.003459,0.003459,0.003459
119,8836.2,0.51056,0.98078,1.47481,0.76016,0.65289,0.72694,0.61795,0.45432,1.03584,1.39349,0.0034407,0.0034407,0.0034407
120,8911.25,0.5045,0.98402,1.46599,0.75241,0.6205,0.72048,0.61429,0.45346,1.04281,1.38649,0.0034224,0.0034224,0.0034224
121,8983.82,0.50193,0.96409,1.46263,0.76009,0.64388,0.7231,0.61927,0.45072,1.03567,1.39155,0.00340411,0.00340411,0.00340411
122,9058.78,0.51147,0.97774,1.47029,0.81472,0.61834,0.72178,0.61308,0.4487,1.02988,1.37932,0.00338581,0.00338581,0.00338581
123,9131.24,0.50203,0.9647,1.47207,0.73429,0.67794,0.7304,0.62352,0.44989,1.0078,1.3908,0.00336751,0.00336751,0.00336751
124,9206.4,0.49828,0.94909,1.46116,0.7995,0.63695,0.72785,0.62121,0.44896,1.01036,1.38915,0.00334921,0.00334921,0.00334921
125,9278.94,0.49961,0.95431,1.45872,0.77442,0.63866,0.72236,0.61637,0.43879,1.0135,1.37157,0.00333091,0.00333091,0.00333091
126,9351.35,0.48636,0.93682,1.44157,0.78785,0.63197,0.72129,0.61481,0.44661,1.03941,1.38386,0.00331261,0.00331261,0.00331261
127,9424,0.49126,0.92224,1.45685,0.75494,0.63365,0.7205,0.60892,0.44724,1.05682,1.38512,0.00329431,0.00329431,0.00329431
128,9496.56,0.49609,0.91631,1.46359,0.76035,0.64922,0.73517,0.62688,0.43751,1.00806,1.37027,0.00327601,0.00327601,0.00327601
129,9572.14,0.4957,0.89723,1.45533,0.79748,0.64364,0.74219,0.63532,0.44518,1.00631,1.38484,0.00325771,0.00325771,0.00325771
130,9646.96,0.48882,0.8954,1.45281,0.76907,0.66492,0.73925,0.63202,0.44268,1.02116,1.37541,0.00323941,0.00323941,0.00323941
131,9719.42,0.4873,0.90004,1.445,0.79251,0.6469,0.74442,0.64071,0.43907,1.00137,1.37741,0.00322111,0.00322111,0.00322111
132,9794.44,0.49139,0.90573,1.45141,0.78851,0.66956,0.74223,0.63601,0.44039,1.00328,1.38075,0.00320282,0.00320282,0.00320282
133,9866.89,0.4907,0.88967,1.45072,0.77231,0.67558,0.75049,0.6384,0.43531,0.99412,1.38206,0.00318452,0.00318452,0.00318452
134,9939.44,0.48684,0.87655,1.4336,0.80381,0.63111,0.7445,0.63566,0.43114,0.99027,1.37752,0.00316622,0.00316622,0.00316622
135,10012,0.48467,0.87886,1.45248,0.79341,0.65863,0.74178,0.63323,0.428,1.00445,1.3701,0.00314792,0.00314792,0.00314792
136,10084.3,0.48106,0.86997,1.4354,0.77825,0.64653,0.74177,0.63519,0.4316,0.99017,1.3775,0.00312962,0.00312962,0.00312962
137,10156.5,0.46322,0.82618,1.43216,0.74148,0.69086,0.74436,0.64,0.42694,0.9725,1.37418,0.00311132,0.00311132,0.00311132
138,10229.1,0.47347,0.84411,1.43143,0.82333,0.64847,0.75115,0.6467,0.42493,0.96555,1.3681,0.00309302,0.00309302,0.00309302
139,10304.4,0.47442,0.85082,1.43328,0.83624,0.65096,0.75706,0.65705,0.42369,0.95496,1.36645,0.00307472,0.00307472,0.00307472
140,10379.5,0.46825,0.86123,1.43239,0.7974,0.65833,0.75005,0.64772,0.42436,0.96123,1.36994,0.00305642,0.00305642,0.00305642
141,10452.3,0.47013,0.84674,1.43166,0.786,0.67755,0.75084,0.65333,0.41685,0.95399,1.35564,0.00303812,0.00303812,0.00303812
142,10524.9,0.47316,0.82958,1.43021,0.80525,0.66772,0.74942,0.64873,0.42395,0.96762,1.36074,0.00301982,0.00301982,0.00301982
143,10597.2,0.46778,0.8119,1.42751,0.769,0.68484,0.74275,0.64606,0.42137,0.97216,1.37129,0.00300152,0.00300152,0.00300152
144,10669.9,0.46441,0.83408,1.41427,0.81408,0.65759,0.7378,0.645,0.41737,0.9839,1.36091,0.00298323,0.00298323,0.00298323
145,10742.6,0.46647,0.81431,1.42837,0.80308,0.64618,0.73742,0.6429,0.41434,0.98061,1.3527,0.00296493,0.00296493,0.00296493
146,10814.9,0.46796,0.82903,1.43086,0.7365,0.68774,0.74068,0.64634,0.41107,0.9639,1.35793,0.00294663,0.00294663,0.00294663
